,stat_id,stat_name,Geomorphology,H1250,H1500,Basin Type,Slope,T0
29,49,DAVS,Basin Edge,-13.98348428,-19.38335992,Type 3 Basin,0.01694805,0.6289
30,51,DCZ,Hill,-61.54723716,-80.76333976,Non-Basin,0.294623737,0.05
31,53,DFHS,Basin,0.212016787,0.117824282,Type 4 Basin,0.004827319,5.6
32,55,DHSS,Hill,11.85922189,14.34786173,Non-Basin,0.100134201,0.19
33,58,DSLC,Basin,-0.131100059,-0.107967734,Type 4 Basin,0.012608901,5.6
34,59,DSZ,Hill,10.80030693,24.74464287,Non-Basin,0.037231476,0.05
35,64,EBPS,Hill,-27.43111213,-31.19082054,Non-Basin,0.285260715,0.38
36,70,EKTS,Valley,8.760821401,9.952227651,Unmodeled Basin,0.026608689,0.4
37,71,EYRS,Basin,-0.034807988,0.015172175,Type 4 Basin,0.001836766,6.2
38,73,FAIS,Hill,18.13734526,18.22491163,Non-Basin,0.347169075,0.05
39,77,FKPS,Basin Edge,-2.802325991,-5.407695559,Type 3 Basin,0.05836729,0.41
40,80,FXBS,Basin,-1.256276194,-1.574601237,Unmodeled Basin,0.003185312,1.5
41,84,GKBS,Hill,-16.20067003,-9.641168379,Non-Basin,0.399513397,0.05
42,86,GLWS,Valley,-19.53130865,-24.83428717,Unmodeled Basin,0.040136542,1.0
43,89,GODS,Hill,55.47276034,63.81731143,Non-Basin,0.383603401,0.05
44,91,GOVS,Hill,-24.34510557,-33.59080259,Non-Basin,0.087075424,0.28
45,94,GVZ,Hill,55.26868048,57.70221319,Non-Basin,0.039895632,0.05
46,95,GWTS,Basin,0.338654494,0.523429847,Unmodeled Basin,0.001141001,1.5
47,96,HAFS,Basin Edge,-12.66711849,-19.54033321,Unmodeled Basin,0.027899215,1.1
48,97,HALS,Basin,-0.387684401,-0.846238669,Type 4 Basin,0.004664593,4.177
49,98,HAVS,Hill,-26.23986484,-25.09546329,Non-Basin,0.307825012,0.05
50,102,HDWS,Basin,-0.842392426,-1.327005845,Unmodeled Basin,0.007523214,0.87
51,103,HHSS,Basin,-0.547685316,-0.634029081,Type 4 Basin,0.004337918,4.29
52,106,HNPS,Basin,0.452552342,0.037925267,Unmodeled Basin,0.078179564,2.65
53,107,HOCS,Basin,-0.277515215,-0.529504579,Unmodeled Basin,0.013706914,1.8
54,109,HPSC,Basin,-0.240621298,-0.314228027,Type 4 Basin,0.000822429,5.24
55,110,HSES,Basin,2.615114668,1.630342939,Type 1 Basin,0.017342254,0.71
56,113,HUNS,Hill,20.50782959,28.24139587,Non-Basin,0.202001781,0.05
57,115,HWHS,Hill,0.153312927,0.271621948,Non-Basin,0.00263204,0.6
58,118,INGS,Valley,-2.036468385,-3.312179444,Unmodeled Basin,0.046016808,0.53
59,119,INHS,Hill,0.615737324,-0.078323955,Non-Basin,0.016247448,1.5
60,121,INZ,Hill,3.366042979,3.41970814,Non-Basin,0.070912151,0.05
61,124,KAFS,Basin,-0.409189963,-0.634585166,Unmodeled Basin,0.007718166,1.2
62,127,KEKS,Hill,59.50964172,63.83059509,Non-Basin,0.079632297,0.05
63,130,KHZ,Hill,-30.28349264,-36.23278005,Non-Basin,0.391978226,0.05
64,131,KIKS,Hill,1.404660325,0.173799913,Non-Basin,0.056538477,0.05
65,132,KILS,Basin,1.323192735,2.819200654,Type 4 Basin,0.053229055,5.0
66,133,KIRS,Hill,-32.91128206,-42.12279939,Non-Basin,0.180747337,0.43
67,136,KOKS,Valley,-0.953133779,-2.847336965,Unmodeled Basin,0.007525617,2.2
68,137,KOWC,Valley,-2.661315771,-5.054290625,Type 4 Basin,0.012087054,0.58
69,138,KPOC,Basin,0.066158999,0.053155173,Type 4 Basin,0.001720904,7.1
70,140,KVSD,Basin,-0.684206011,-0.915597917,Type 4 Basin,0.006898873,6.0
71,143,LHBS,Hill,43.64103524,49.284712,Non-Basin,0.198809223,0.05
72,144,LHES,Basin,0.446806276,-0.238575613,Type 3 Basin,0.004560248,1.16
73,145,LHRS,Hill,22.75788018,23.08030602,Non-Basin,0.09388833,0.05
74,146,LHUS,Basin,0.63010797,0.777924747,Type 3 Basin,0.002350307,1.75
75,147,LINC,Basin,-0.131925553,-0.282934159,Type 4 Basin,0.003223419,4.36
76,149,LNBS,Basin,-0.334770023,-0.678984462,Type 3 Basin,0.013903189,0.8
77,150,LPCC,Hill,-11.79679929,-14.52981626,Non-Basin,0.101253881,0.05
78,151,LPLS,Valley,-7.232689264,-9.226963404,Unmodeled Basin,0.053142829,0.71
79,154,LRSS,Basin,-0.753420877,-0.867415476,Type 3 Basin,0.001254694,1.72
80,155,LSRC,Basin,-0.453063672,-0.353759473,Unmodeled Basin,0.043857179,1.0
81,156,LTZ,Hill,-13.38153414,-18.78674654,Non-Basin,0.096670103,0.05
82,160,MAVS,Basin,0.708650735,0.460561898,Unmodeled Basin,0.005836216,2.91
83,161,MAYC,Basin,-1.001888789,-1.055233516,Type 4 Basin,0.009921497,4.5
84,162,MCAS,Basin,0.656111943,0.299605596,Unmodeled Basin,0.008292483,1.9
85,163,MCNS,Valley,-36.47002686,-46.39660156,Unmodeled Basin,0.094127903,0.43
86,165,MECS,Valley,3.066807715,0.750950781,Unmodeled Basin,0.056090941,2.85
87,166,MENS,Hill,-4.92530467,-5.113212842,Non-Basin,0.306428833,0.13
88,167,MGCS,Basin,-0.011543416,-0.011542463,Type 1 Basin,0.000706833,3.9
89,168,MISS,Valley,-8.753994952,-12.60665418,Type 3 Basin,0.01823469,1.15
